t_ms,phase,sheet_idx,jvm_heap_used_mb,jvm_heap_max_mb,native_heap_used_mb,native_heap_size_mb,rss_mb,cpu_percent
10383,CV,50,93.50,512.00,127.24,135.13,404.24,318.56
10491,CV,50,93.78,512.00,182.86,190.61,461.76,426.40
10596,CV,51,91.79,512.00,72.79,80.67,344.36,284.37
10699,CV,51,92.02,512.00,136.18,144.11,406.40,416.66
10812,CV,52,92.33,512.00,127.79,135.74,404.25,282.99
10920,CV,52,92.90,512.00,152.13,159.94,428.43,325.13
11032,CV,53,93.28,512.00,179.70,187.43,453.03,393.14
11143,CV,53,91.83,512.00,100.04,108.15,363.23,287.64
11252,CV,54,92.17,512.00,109.27,117.63,387.63,459.00
11359,CV,55,92.70,512.00,108.73,116.65,374.21,253.53
11468,CV,55,92.97,512.00,172.19,180.08,440.39,431.38
11578,CV,56,93.16,512.00,159.17,167.07,424.70,245.81
11683,CV,56,91.72,512.00,171.94,179.91,441.18,428.03
11790,CV,57,92.09,512.00,92.71,101.82,371.01,318.19
11896,CV,57,92.59,512.00,136.55,145.32,415.72,319.31
12000,CV,58,92.91,512.00,132.57,141.34,412.69,325.79
12108,CV,58,93.18,512.00,152.43,160.82,429.49,298.61
12214,CV,59,93.64,512.00,180.16,188.09,451.20,367.75
12321,CV,60,91.90,512.00,74.94,83.61,352.04,298.31
12427,CV,60,92.51,512.00,125.16,134.19,404.19,452.53
12531,CV,61,92.72,512.00,124.12,133.09,399.65,241.06
12639,CV,61,92.95,512.00,172.53,181.07,449.65,386.58
12747,CV,62,93.21,512.00,168.50,177.06,448.26,334.27
12856,CV,62,91.77,512.00,99.37,108.34,373.14,368.06
12962,CV,63,92.38,512.00,97.74,106.78,377.55,365.39
13074,CV,63,92.55,512.00,113.34,122.37,390.85,332.16
13187,CV,64,92.90,512.00,144.88,153.49,424.20,451.26
13292,CV,65,93.13,512.00,144.46,152.62,416.20,247.13
13394,CV,65,93.66,512.00,207.96,216.11,476.78,411.49
13498,CV,66,91.93,512.00,73.47,82.39,343.61,268.93
13604,CV,66,92.19,512.00,136.90,145.79,407.71,435.27
13715,CV,67,92.45,512.00,128.68,137.50,407.81,287.54
13825,CV,67,92.68,512.00,153.01,161.46,428.88,299.71
13930,CV,68,93.32,512.00,180.76,188.80,457.11,420.94
14035,CV,68,91.77,512.00,104.31,112.95,376.66,276.07
14140,CV,69,92.18,512.00,109.52,118.39,384.55,400.77
14248,CV,70,92.40,512.00,109.06,117.49,371.55,304.81
14359,CV,70,92.70,512.00,172.55,180.98,443.45,431.97
14467,CV,71,93.12,512.00,164.22,172.57,443.18,288.26
14574,CV,71,91.77,512.00,121.93,130.20,395.86,354.28
14678,CV,72,92.15,512.00,109.62,118.48,381.52,344.96
14786,CV,73,92.32,512.00,100.16,109.00,365.64,268.64
14892,CV,73,92.67,512.00,145.20,153.63,424.30,424.30
14994,CV,74,93.15,512.00,144.54,152.53,412.84,263.94
15101,CV,74,91.68,512.00,190.03,198.00,464.00,432.87
15212,CV,75,91.99,512.00,83.94,93.13,363.86,331.92
15330,CV,75,92.23,512.00,136.74,145.50,416.05,306.14
15442,CV,76,92.64,512.00,144.62,153.05,414.05,364.45
15549,CV,76,92.94,512.00,148.48,156.95,426.19,319.78
15654,CV,77,93.42,512.00,180.15,188.14,452.20,371.70
15775,CV,77,91.86,512.00,100.28,108.85,368.32,311.80
15884,CV,78,92.24,512.00,109.32,118.14,388.76,406.96
15989,CV,79,92.76,512.00,108.84,117.48,378.46,265.56
16095,CV,79,93.03,512.00,172.21,180.81,444.31,395.01
16202,CV,80,93.31,512.00,163.55,172.13,442.82,300.47
16310,CV,80,91.67,512.00,171.93,180.08,458.96,349.82
16420,CV,81,92.01,512.00,92.92,102.19,372.05,336.74
16530,CV,81,92.51,512.00,136.69,145.67,416.37,319.13
16639,CV,82,92.93,512.00,144.56,153.15,413.67,293.32
16746,CV,82,93.01,512.00,148.43,157.05,425.50,356.88
16852,CV,83,93.41,512.00,179.93,188.15,459.31,451.04
16956,CV,84,91.96,512.00,88.48,97.79,351.48,288.34
17061,CV,84,92.45,512.00,136.78,145.73,409.75,410.92
17173,CV,85,92.73,512.00,128.31,137.23,404.07,267.81
17277,CV,85,92.96,512.00,172.19,180.72,451.91,375.27
17392,CV,86,93.41,512.00,180.17,188.32,452.66,320.40
17501,CV,87,91.96,512.00,73.20,82.08,334.71,339.90
17608,CV,87,92.49,512.00,136.26,145.14,404.82,459.33
17718,CV,88,92.73,512.00,127.59,136.38,406.18,288.73
17826,CV,88,92.93,512.00,171.31,179.82,450.83,324.07
17934,CV,89,93.28,512.00,178.71,186.87,450.46,344.62
18042,CV,90,91.82,512.00,52.81,62.05,330.27,304.16
18150,CV,90,92.45,512.00,108.59,117.41,387.48,447.41
18258,CV,91,92.66,512.00,108.05,116.30,382.33,268.22
18364,CV,91,92.89,512.00,170.82,179.23,446.48,376.32
18473,CV,92,93.11,512.00,161.78,170.19,443.09,358.39
18585,CV,92,92.05,512.00,78.34,87.21,355.15,364.23
18697,CV,93,92.43,512.00,108.65,117.50,386.44,403.97
18801,CV,94,92.65,512.00,107.90,116.33,377.98,277.29
18903,CV,94,92.88,512.00,170.80,179.23,442.03,421.70
19012,CV,95,93.08,512.00,161.87,170.23,440.09,284.91
19120,CV,95,91.84,512.00,170.71,178.71,446.37,378.46
19230,CV,96,92.15,512.00,92.41,101.47,371.47,347.23
19339,CV,96,92.38,512.00,116.66,125.35,392.86,347.94
19444,CV,97,92.76,512.00,143.71,152.03,415.78,334.13
19552,CV,98,93.01,512.00,140.31,148.60,400.47,323.46
19658,CV,98,93.47,512.00,178.57,186.49,457.88,434.43
19765,CV,99,91.95,512.00,73.14,81.86,342.34,317.89
19877,CV,99,92.18,512.00,136.06,144.77,406.97,403.19
19985,CV,100,92.43,512.00,127.28,135.88,404.03,276.11
20093,CV,100,92.67,512.00,143.56,151.94,426.97,324.52
20200,CV,101,93.24,512.00,178.41,186.39,450.02,318.49
20303,CV,101,91.84,512.00,64.64,73.73,341.73,318.93
20407,CV,102,92.16,512.00,108.95,117.65,385.24,375.80
20511,CV,103,92.39,512.00,108.25,116.53,368.88,221.04
20616,CV,103,92.65,512.00,143.78,152.05,421.65,428.51
20723,CV,104,93.10,512.00,143.08,150.96,415.14,298.96
20834,CV,104,91.69,512.00,188.57,196.44,462.90,404.43
20945,CV,105,92.04,512.00,92.45,101.40,371.04,316.23
21056,CV,105,92.27,512.00,136.18,144.82,407.82,317.01
21165,CV,106,92.92,512.00,132.00,140.30,411.50,385.01
21273,CV,107,93.10,512.00,122.86,131.09,400.97,351.04
21381,CV,107,93.37,512.00,178.59,186.48,457.60,461.31
21490,CV,107,91.78,512.00,90.28,99.03,367.38,248.14
21598,CV,108,92.15,512.00,108.98,117.57,384.01,416.89
21704,CV,109,92.74,512.00,108.25,116.45,367.88,255.74
21809,CV,109,93.03,512.00,143.87,152.03,422.82,444.68
21919,CV,110,93.23,512.00,143.26,151.02,411.83,256.07
22024,CV,110,91.70,512.00,188.79,196.77,460.75,416.10
22132,CV,111,92.02,512.00,92.77,101.88,369.90,305.19
22239,CV,111,92.49,512.00,136.53,145.32,416.11,356.82
22347,CV,112,92.90,512.00,143.95,152.35,414.49,379.70
22453,CV,112,92.97,512.00,147.81,156.25,425.29,303.12
22560,CV,113,93.35,512.00,178.88,186.86,456.60,407.87
22665,CV,114,91.94,512.00,78.17,86.74,337.01,304.88
22772,CV,114,92.43,512.00,136.87,145.61,409.71,421.35
22882,CV,115,92.68,512.00,132.98,141.73,413.82,281.83
22990,CV,116,93.00,512.00,135.63,143.96,401.34,332.80
23099,CV,116,93.29,512.00,180.38,188.30,459.79,441.49
23207,CV,117,91.95,512.00,78.73,87.03,341.29,304.41
23313,CV,117,92.48,512.00,125.24,134.02,402.75,463.37
23423,CV,118,92.72,512.00,119.70,128.42,399.57,246.23
23535,CV,118,92.95,512.00,172.48,180.77,451.83,348.86
23644,CV,119,93.14,512.00,168.20,176.51,447.87,374.93
23752,CV,119,92.07,512.00,87.06,95.75,361.45,380.81
23885,CV,120,92.48,512.00,109.63,118.39,388.51,352.15
23990,CV,121,92.76,512.00,108.92,117.25,380.95,209.61
24095,CV,121,92.99,512.00,172.10,180.41,451.39,313.56
24206,CV,122,93.37,512.00,180.19,188.09,449.66,334.00
24314,CV,122,91.83,512.00,117.60,125.79,392.76,342.39
24418,CV,123,92.05,512.00,97.84,106.90,376.09,260.85
24525,CV,123,92.28,512.00,137.25,145.95,416.57,270.96
24632,CV,124,92.51,512.00,137.69,146.29,417.42,371.79
24737,CV,124,92.80,512.00,149.10,157.43,425.86,342.21
24842,CV,125,93.41,512.00,180.64,188.50,450.58,324.20
24951,CV,125,91.79,512.00,104.80,113.13,381.73,397.01
25060,CV,126,92.20,512.00,109.65,118.27,381.91,338.37
25167,CV,127,92.49,512.00,109.19,117.37,368.82,271.43
25272,CV,127,92.91,512.00,144.94,153.19,424.45,455.75
25378,CV,128,93.23,512.00,144.36,152.21,417.64,274.05
25483,CV,128,91.70,512.00,190.00,197.77,471.63,401.60
25588,CV,129,92.04,512.00,92.61,101.50,370.58,312.27
