t_ms,phase,sheet_idx,jvm_heap_used_mb,jvm_heap_max_mb,native_heap_used_mb,native_heap_size_mb,rss_mb,cpu_percent
0,warmup_CV,0,93.07,512.00,28.59,34.43,267.12,0.00
103,warmup_CV,0,93.71,512.00,76.97,83.52,316.86,301.11
205,warmup_CV,0,94.10,512.00,88.78,95.60,333.54,235.78
306,warmup_CV,0,94.20,512.00,136.29,143.05,380.93,295.62
408,warmup_CV,0,94.52,512.00,140.81,148.12,385.28,294.77
510,warmup_CV,0,95.04,512.00,161.04,168.36,405.54,206.32
612,warmup_CV,0,95.35,512.00,169.86,176.77,402.27,322.77
713,warmup_CV,0,95.45,512.00,232.07,239.32,466.17,306.44
814,CV,1,95.76,512.00,236.70,243.88,468.99,208.36
916,CV,2,96.07,512.00,272.51,279.70,514.43,364.40
1017,CV,3,96.66,512.00,314.44,321.84,557.24,395.19
1118,CV,4,96.97,512.00,359.15,366.77,602.66,423.48
1219,CV,5,97.28,512.00,403.94,411.46,647.63,406.42
1321,CV,6,97.65,512.00,457.04,464.54,701.87,461.48
1424,CV,6,91.67,512.00,96.34,104.25,334.72,379.39
1525,CV,7,92.24,512.00,147.75,155.65,387.59,436.08
1628,CV,8,92.62,512.00,187.55,195.34,421.32,407.08
1733,CV,9,92.94,512.00,219.52,227.26,459.19,353.58
1835,CV,10,91.72,512.00,107.65,115.44,337.57,313.64
1937,CV,11,92.00,512.00,140.74,148.45,379.50,411.87
2039,CV,12,92.63,512.00,182.61,190.34,424.22,363.21
2144,CV,13,91.69,512.00,72.43,80.23,310.73,407.18
2246,CV,14,92.00,512.00,120.33,127.72,347.68,354.94
2347,CV,14,92.14,512.00,178.67,186.32,418.30,422.95
2449,CV,15,92.50,512.00,202.77,210.43,443.37,314.12
2553,CV,16,91.92,512.00,72.79,80.23,309.42,125.70
2654,CV,17,92.23,512.00,120.34,127.75,354.27,334.08
2760,CV,17,92.49,512.00,166.33,174.02,402.07,340.47
2862,CV,18,92.65,512.00,222.21,229.91,464.00,371.10
2969,CV,19,91.76,512.00,107.78,115.44,347.70,348.74
3070,CV,20,92.38,512.00,170.33,177.90,411.28,423.37
3171,CV,21,92.66,512.00,217.97,225.40,459.14,404.96
3278,CV,22,91.79,512.00,123.29,131.02,353.18,282.41
3381,CV,23,92.10,512.00,155.27,162.94,394.79,280.60
3483,CV,24,92.42,512.00,202.79,210.43,440.73,292.82
3585,CV,25,91.97,512.00,99.54,107.03,337.39,323.91
3687,CV,26,92.19,512.00,147.04,154.52,384.06,315.12
3789,CV,27,92.47,512.00,194.52,202.27,432.56,363.55
3890,CV,28,91.72,512.00,99.54,107.28,336.16,373.01
3992,CV,29,92.01,512.00,158.20,166.09,396.84,395.85
4093,CV,30,92.49,512.00,186.32,194.11,426.55,405.35
4196,CV,31,91.76,512.00,123.01,130.91,362.20,388.93
4296,CV,33,92.23,512.00,151.40,158.77,379.35,406.33
4400,CV,34,91.64,512.00,73.04,80.73,302.53,355.83
4502,CV,34,91.74,512.00,131.24,139.32,372.47,423.94
4603,CV,35,92.29,512.00,178.86,186.82,418.87,394.02
4705,CV,36,92.64,512.00,203.00,210.93,444.63,293.91
4807,CV,37,91.68,512.00,99.09,107.07,339.01,207.48
4909,CV,38,92.02,512.00,135.54,143.59,376.89,245.08
5010,CV,39,92.41,512.00,174.74,182.67,416.50,344.70
5112,CV,40,91.71,512.00,82.34,90.48,314.08,361.81
5214,CV,41,92.05,512.00,130.11,137.99,370.59,345.76
5316,CV,42,92.65,512.00,178.60,185.94,411.48,353.46
5417,CV,43,91.78,512.00,99.91,107.78,332.38,354.18
5518,CV,44,92.12,512.00,139.25,146.86,376.91,366.51
5619,CV,45,93.01,512.00,178.67,185.94,420.21,396.31
5721,CV,46,91.81,512.00,100.02,107.78,337.19,313.37
5824,CV,47,92.06,512.00,151.61,159.26,384.91,379.13
5931,CV,48,91.49,512.00,124.47,131.98,362.58,428.95
6034,CV,49,91.99,512.00,135.94,143.62,375.87,341.43
6135,CV,50,92.69,512.00,167.30,174.52,407.63,344.93
6237,CV,51,93.23,512.00,217.93,224.76,459.86,342.53
6340,CV,52,92.06,512.00,123.00,130.80,356.09,339.86
6442,CV,53,92.25,512.00,161.82,169.62,404.43,335.50
6543,CV,54,92.96,512.00,208.10,215.41,449.00,396.59
6644,CV,55,91.82,512.00,87.09,95.10,322.53,375.35
6746,CV,56,92.20,512.00,137.84,145.51,361.18,323.42
6848,CV,56,92.50,512.00,193.14,200.84,436.16,403.42
6950,CV,57,91.60,512.00,246.90,254.25,490.84,369.92
7052,CV,58,92.40,512.00,122.74,130.70,361.36,295.96
7155,CV,59,92.80,512.00,173.53,181.10,408.29,328.47
7256,CV,60,93.09,512.00,216.89,224.67,460.39,406.37
7357,CV,61,91.87,512.00,102.25,110.81,339.42,356.83
7458,CV,62,92.25,512.00,138.15,145.90,368.41,376.57
7559,CV,63,92.86,512.00,186.82,194.56,411.96,356.19
7661,CV,63,93.12,512.00,244.21,251.68,487.54,402.26
