TIMESTAMP,DEVICE,OS_VERSION,DURATION_MS,MEMORY_USED_MB
2026-05-28T00:40:54.057Z,"23090RA98G","15",142,0.37
2026-05-28T00:40:54.210Z,"23090RA98G","15",140,0.37
2026-05-28T00:40:54.349Z,"23090RA98G","15",120,0.30
2026-05-28T00:40:54.487Z,"23090RA98G","15",123,0.50
2026-05-28T00:40:54.638Z,"23090RA98G","15",134,0.23
2026-05-28T00:40:54.745Z,"23090RA98G","15",86,0.26
2026-05-28T00:40:54.865Z,"23090RA98G","15",97,0.27
2026-05-28T00:40:54.968Z,"23090RA98G","15",89,0.53
2026-05-28T00:40:55.071Z,"23090RA98G","15",90,0.29
2026-05-28T00:40:55.179Z,"23090RA98G","15",93,0.29
2026-05-28T00:40:55.309Z,"23090RA98G","15",113,0.00
2026-05-28T00:40:55.412Z,"23090RA98G","15",88,0.59
2026-05-28T00:40:55.530Z,"23090RA98G","15",93,0.30
2026-05-28T00:40:55.641Z,"23090RA98G","15",89,0.00
2026-05-28T00:40:55.770Z,"23090RA98G","15",92,0.38
2026-05-28T00:40:55.885Z,"23090RA98G","15",91,0.50
2026-05-28T00:40:55.991Z,"23090RA98G","15",86,0.00
2026-05-28T00:40:56.118Z,"23090RA98G","15",92,0.22
2026-05-28T00:40:56.239Z,"23090RA98G","15",96,0.33
2026-05-28T00:40:56.383Z,"23090RA98G","15",125,0.00
2026-05-28T00:40:56.522Z,"23090RA98G","15",86,0.19
2026-05-28T00:40:56.642Z,"23090RA98G","15",100,0.27
2026-05-28T00:40:56.760Z,"23090RA98G","15",89,0.00
2026-05-28T00:40:56.870Z,"23090RA98G","15",87,0.36
2026-05-28T00:40:56.959Z,"23090RA98G","15",72,0.46
2026-05-28T00:40:57.068Z,"23090RA98G","15",93,0.00
2026-05-28T00:40:57.178Z,"23090RA98G","15",85,0.33
2026-05-28T00:40:57.286Z,"23090RA98G","15",89,0.29
2026-05-28T00:40:57.404Z,"23090RA98G","15",95,0.00
2026-05-28T00:40:57.496Z,"23090RA98G","15",73,0.23
2026-05-28T00:40:57.600Z,"23090RA98G","15",89,0.23
2026-05-28T00:40:57.710Z,"23090RA98G","15",95,0.00
2026-05-28T00:40:57.803Z,"23090RA98G","15",75,0.26
2026-05-28T00:40:57.886Z,"23090RA98G","15",68,0.23
2026-05-28T00:40:58.000Z,"23090RA98G","15",94,0.00
2026-05-28T00:40:58.089Z,"23090RA98G","15",68,0.26
2026-05-28T00:40:58.174Z,"23090RA98G","15",69,0.22
2026-05-28T00:40:58.265Z,"23090RA98G","15",70,0.00
2026-05-28T00:40:58.388Z,"23090RA98G","15",97,0.27
2026-05-28T00:40:58.495Z,"23090RA98G","15",91,0.53
2026-05-28T00:40:58.611Z,"23090RA98G","15",97,0.00
2026-05-28T00:40:58.743Z,"23090RA98G","15",94,0.35
2026-05-28T00:40:58.846Z,"23090RA98G","15",79,0.30
2026-05-28T00:40:58.964Z,"23090RA98G","15",92,0.00
2026-05-28T00:40:59.060Z,"23090RA98G","15",68,0.35
2026-05-28T00:40:59.151Z,"23090RA98G","15",75,0.39
2026-05-28T00:40:59.245Z,"23090RA98G","15",78,0.00
2026-05-28T00:40:59.340Z,"23090RA98G","15",70,0.32
2026-05-28T00:40:59.429Z,"23090RA98G","15",72,0.80
2026-05-28T00:40:59.535Z,"23090RA98G","15",85,0.00
2026-05-28T00:40:59.635Z,"23090RA98G","15",77,0.29
2026-05-28T00:40:59.724Z,"23090RA98G","15",75,0.51
2026-05-28T00:40:59.820Z,"23090RA98G","15",79,0.00
2026-05-28T00:40:59.932Z,"23090RA98G","15",89,0.66
2026-05-28T00:41:00.041Z,"23090RA98G","15",88,0.48
2026-05-28T00:41:00.142Z,"23090RA98G","15",78,0.00
2026-05-28T00:41:00.274Z,"23090RA98G","15",96,0.38
2026-05-28T00:41:00.381Z,"23090RA98G","15",83,0.36
2026-05-28T00:41:00.502Z,"23090RA98G","15",96,0.00
2026-05-28T00:41:00.621Z,"23090RA98G","15",93,0.25
2026-05-28T00:41:00.732Z,"23090RA98G","15",89,0.42
2026-05-28T00:41:00.847Z,"23090RA98G","15",93,0.00
2026-05-28T00:41:00.966Z,"23090RA98G","15",90,0.62
2026-05-28T00:41:01.088Z,"23090RA98G","15",97,0.35
2026-05-28T00:41:01.206Z,"23090RA98G","15",95,0.00
2026-05-28T00:41:01.323Z,"23090RA98G","15",90,0.35
2026-05-28T00:41:01.438Z,"23090RA98G","15",90,0.52
2026-05-28T00:41:01.559Z,"23090RA98G","15",93,0.00
2026-05-28T00:41:01.688Z,"23090RA98G","15",90,0.39
2026-05-28T00:41:01.792Z,"23090RA98G","15",79,0.32
2026-05-28T00:41:01.899Z,"23090RA98G","15",85,0.00
2026-05-28T00:41:02.016Z,"23090RA98G","15",88,0.35
2026-05-28T00:41:02.120Z,"23090RA98G","15",83,0.36
2026-05-28T00:41:02.237Z,"23090RA98G","15",91,0.00
2026-05-28T00:41:02.358Z,"23090RA98G","15",84,0.38
2026-05-28T00:41:02.460Z,"23090RA98G","15",79,0.48
2026-05-28T00:41:02.568Z,"23090RA98G","15",81,0.00
2026-05-28T00:41:02.692Z,"23090RA98G","15",88,0.33
2026-05-28T00:41:02.796Z,"23090RA98G","15",77,0.33
2026-05-28T00:41:02.911Z,"23090RA98G","15",90,0.00
2026-05-28T00:41:03.016Z,"23090RA98G","15",79,0.32
2026-05-28T00:41:03.125Z,"23090RA98G","15",88,0.29
2026-05-28T00:41:03.241Z,"23090RA98G","15",93,0.00
2026-05-28T00:41:03.356Z,"23090RA98G","15",88,0.35
2026-05-28T00:41:03.465Z,"23090RA98G","15",83,0.52
2026-05-28T00:41:03.580Z,"23090RA98G","15",85,0.00
2026-05-28T00:41:03.703Z,"23090RA98G","15",84,0.35
2026-05-28T00:41:03.809Z,"23090RA98G","15",84,0.29
2026-05-28T00:41:03.927Z,"23090RA98G","15",95,0.00
2026-05-28T00:41:04.031Z,"23090RA98G","15",81,0.32
2026-05-28T00:41:04.141Z,"23090RA98G","15",89,0.32
2026-05-28T00:41:04.245Z,"23090RA98G","15",83,0.00
2026-05-28T00:41:04.360Z,"23090RA98G","15",82,0.35
2026-05-28T00:41:04.460Z,"23090RA98G","15",80,0.63
2026-05-28T00:41:04.573Z,"23090RA98G","15",93,0.00
2026-05-28T00:41:04.684Z,"23090RA98G","15",85,0.25
2026-05-28T00:41:04.788Z,"23090RA98G","15",80,0.25
2026-05-28T00:41:04.904Z,"23090RA98G","15",89,0.00
2026-05-28T00:41:05.019Z,"23090RA98G","15",92,0.59
2026-05-28T00:41:05.128Z,"23090RA98G","15",82,0.35
2026-05-28T00:41:05.230Z,"23090RA98G","15",79,0.00
2026-05-28T00:41:05.349Z,"23090RA98G","15",87,0.38
2026-05-28T00:41:05.456Z,"23090RA98G","15",88,0.66
2026-05-28T00:41:05.567Z,"23090RA98G","15",90,0.00
2026-05-28T00:41:05.674Z,"23090RA98G","15",81,0.45
2026-05-28T00:41:05.785Z,"23090RA98G","15",85,0.38
2026-05-28T00:41:05.906Z,"23090RA98G","15",96,0.00
2026-05-28T00:41:06.057Z,"23090RA98G","15",104,0.35
2026-05-28T00:41:06.157Z,"23090RA98G","15",81,0.39
2026-05-28T00:41:06.275Z,"23090RA98G","15",100,0.00
