t_ms,cpu_pct,ram_mb
1009.1,54.60,623.31
2009.6,146.80,790.60
3010.5,135.80,1110.02
4011.0,164.00,883.51
5011.6,140.50,947.95
6012.3,131.20,1011.44
7012.8,137.40,1042.11
8013.2,154.60,1125.52
9013.6,149.90,1187.82
10014.5,131.10,1237.21
11015.0,140.60,1292.94
12015.5,165.50,1088.79
13016.2,117.10,1026.41
14016.7,51.50,518.79
15017.1,42.20,561.45
16017.9,57.80,646.56
17018.4,29.70,673.17
18019.1,42.20,716.92
19019.4,54.70,800.44
20019.8,39.00,842.92
21020.2,51.50,885.47
22020.7,56.20,970.07
23021.3,48.40,1012.46
24021.9,64.00,1058.50
25022.6,60.90,507.53
26023.3,35.90,550.63
27023.8,34.40,588.76
28024.6,65.60,659.52
29025.2,39.00,716.06
30025.7,35.90,758.35
31026.2,70.30,833.79
32027.0,29.70,885.76
33027.3,48.40,619.52
34027.8,54.70,475.19
35028.5,34.30,500.64
36028.9,32.80,501.20
37029.7,74.90,543.88
38030.0,35.90,501.63
39030.5,43.70,501.87
40030.9,64.00,476.90
41031.6,45.30,502.37
42032.3,32.80,500.03
43032.9,56.20,536.41
44033.4,78.10,581.46
45034.0,34.40,581.27
46034.4,56.20,584.10
47034.8,76.50,552.40
48035.5,67.10,584.21
49036.2,53.10,584.24
50036.8,57.80,583.45
51037.3,60.90,584.21
52037.9,32.80,584.51
53038.5,42.20,634.73
54039.2,59.30,592.78
55040.4,42.10,582.32
56040.7,43.70,631.64
57041.5,48.40,585.75
58042.1,62.50,583.91
59043.5,31.20,633.23
60044.0,53.10,586.94
61044.3,64.00,604.72
62045.2,37.50,633.02
63045.7,35.90,587.43
64046.2,53.10,588.55
65047.1,71.80,634.66
66048.0,40.60,589.25
67048.6,40.60,589.58
68049.4,71.80,603.89
69049.8,46.90,589.88
70050.4,32.80,590.06
71051.0,59.30,586.60
72051.4,57.80,558.67
73052.3,39.00,590.39
74052.9,32.80,586.82
75053.5,64.00,635.92
76054.0,71.80,590.54
77055.0,34.30,587.28
78055.3,34.40,636.55
79055.6,57.80,598.02
80056.7,40.60,587.98
81057.2,32.80,637.98
82057.9,51.50,592.01
83058.6,73.40,631.44
84059.2,51.50,635.89
85059.8,34.40,589.59
86060.1,62.50,589.87
87060.9,42.20,635.86
88061.7,29.70,590.17
89062.0,50.00,590.13
90062.6,62.50,623.01
91063.3,48.40,590.81
92064.0,34.30,590.92
93064.7,62.50,587.93
94065.5,68.70,591.75
95065.9,40.60,591.82
96066.6,43.70,588.39
97067.3,51.50,638.30
98068.2,56.20,592.10
99068.7,39.00,588.59
100069.3,48.40,638.18
101070.0,70.30,622.53
102070.5,40.60,588.89
103071.4,42.10,638.55
104071.6,56.20,592.36
105072.2,70.30,588.77
106072.9,39.00,638.68
107073.6,45.30,590.16
108074.1,68.70,649.29
109074.9,51.50,627.02
110075.7,34.30,627.03
111076.3,48.40,627.11
112076.9,59.30,676.62
113077.9,32.80,627.05
114078.2,34.40,627.32
115079.1,73.40,627.56
116079.9,56.20,627.72
117080.5,42.20,627.80
118081.0,43.70,628.14
119081.6,67.10,676.02
120082.2,51.50,628.64
121082.7,34.40,628.71
122083.3,57.80,628.78
123083.9,65.60,628.85
124084.7,51.50,628.85
125085.4,46.80,629.01
126086.0,70.30,647.88
127086.8,68.70,629.13
128087.5,48.40,629.27
129088.1,78.10,629.39
130088.9,46.80,629.58
131089.4,31.20,626.84
132089.8,64.00,626.96
133090.6,60.90,664.71
134091.2,39.00,627.34
135091.7,37.50,627.60
136094.1,62.40,627.89
137095.2,48.40,647.05
138095.6,39.00,628.41
139095.9,35.90,628.61
140096.6,42.20,628.87
141097.3,67.10,675.84
142097.8,45.30,629.51
143098.5,34.40,629.70
144099.2,48.40,629.97
145099.5,59.40,649.09
146100.0,29.70,630.51
147100.9,0.00,630.51
