epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,775.995,0.48686,0.56592,0.85356,0.99329,1,0.995,0.84857,0.62428,0.5137,0.87175,0.0008581,0.0008581,0.0008581
45,791.579,0.49488,0.57083,0.86045,0.99491,1,0.995,0.87564,0.57308,0.49023,0.86031,0.0008548,0.0008548,0.0008548
46,807.324,0.45479,0.58407,0.86692,0.99494,1,0.995,0.91993,0.43975,0.44965,0.83277,0.0008515,0.0008515,0.0008515
47,822.866,0.44005,0.51351,0.86348,0.99494,1,0.995,0.91993,0.43975,0.44965,0.83277,0.0008482,0.0008482,0.0008482
48,848.394,0.52975,0.58826,0.90229,0.9939,1,0.995,0.91302,0.44778,0.44377,0.83404,0.0008449,0.0008449,0.0008449
49,875.231,0.46748,0.55779,0.87562,0.99189,1,0.995,0.8842,0.5128,0.4508,0.84652,0.0008416,0.0008416,0.0008416
50,898.601,0.43461,0.5338,0.87087,0.99056,1,0.995,0.89179,0.52043,0.44939,0.84725,0.0008383,0.0008383,0.0008383
51,926.27,0.47688,0.53993,0.86853,0.99056,1,0.995,0.89179,0.52043,0.44939,0.84725,0.000835,0.000835,0.000835
52,952.832,0.46072,0.50112,0.87371,0.98991,1,0.995,0.91138,0.42657,0.4413,0.83004,0.0008317,0.0008317,0.0008317
53,979.203,0.457,0.53685,0.86091,0.99255,1,0.995,0.94368,0.35689,0.45435,0.81987,0.0008284,0.0008284,0.0008284
54,1006.31,0.50059,0.54908,0.88054,0.99323,1,0.995,0.9506,0.36445,0.45525,0.82038,0.0008251,0.0008251,0.0008251
55,1022.3,0.43202,0.50996,0.83062,0.99323,1,0.995,0.9506,0.36445,0.45525,0.82038,0.0008218,0.0008218,0.0008218
56,1038.39,0.46143,0.55845,0.86111,0.99456,1,0.995,0.9346,0.4246,0.44094,0.82833,0.0008185,0.0008185,0.0008185
57,1054.63,0.44685,0.50723,0.85823,0.99293,1,0.995,0.9019,0.46974,0.4324,0.83446,0.0008152,0.0008152,0.0008152
58,1070.82,0.48878,0.542,0.88663,0.99223,1,0.995,0.9354,0.4125,0.42958,0.82465,0.0008119,0.0008119,0.0008119
59,1087.35,0.44028,0.54205,0.84668,0.99223,1,0.995,0.9354,0.4125,0.42958,0.82465,0.0008086,0.0008086,0.0008086
60,1102.77,0.439,0.52511,0.85702,0.99138,1,0.995,0.96093,0.33543,0.42531,0.81233,0.0008053,0.0008053,0.0008053
61,1120.69,0.43813,0.49275,0.84069,0.99063,1,0.995,0.95463,0.34518,0.42292,0.81566,0.000802,0.000802,0.000802
62,1149.91,0.42169,0.5138,0.87813,0.99377,1,0.995,0.931,0.40669,0.42858,0.82559,0.0007987,0.0007987,0.0007987
63,1177.23,0.43779,0.50935,0.86825,0.99377,1,0.995,0.931,0.40669,0.42858,0.82559,0.0007954,0.0007954,0.0007954
64,1203.1,0.4364,0.49634,0.85401,0.99105,1,0.995,0.91294,0.45069,0.43164,0.83196,0.0007921,0.0007921,0.0007921
65,1230.2,0.44395,0.51239,0.86673,0.98945,1,0.995,0.92057,0.4083,0.41671,0.82245,0.0007888,0.0007888,0.0007888
66,1260.03,0.44888,0.49782,0.85768,0.99022,1,0.995,0.96045,0.32923,0.40283,0.80881,0.0007855,0.0007855,0.0007855
67,1288.35,0.40664,0.51045,0.86475,0.99022,1,0.995,0.96045,0.32923,0.40283,0.80881,0.0007822,0.0007822,0.0007822
68,1315.94,0.46191,0.50382,0.87571,0.9923,1,0.995,0.96883,0.28885,0.38427,0.80356,0.0007789,0.0007789,0.0007789
