t_ms,phase,sheet_idx,jvm_heap_used_mb,jvm_heap_max_mb,native_heap_used_mb,native_heap_size_mb,rss_mb,cpu_percent
9940,CV,37,99.63,512.00,161.74,170.67,431.53,359.29
10046,CV,37,99.89,512.00,180.68,189.57,452.27,434.34
10151,CV,38,96.62,512.00,68.45,78.38,318.85,255.96
10253,CV,38,96.72,512.00,88.06,97.95,350.96,274.63
10358,CV,38,96.98,512.00,111.65,121.33,379.59,409.47
10462,CV,39,97.70,512.00,115.07,124.72,378.89,308.54
10566,CV,39,97.99,512.00,115.23,124.72,385.15,421.64
10670,CV,40,98.95,512.00,146.14,155.29,413.88,249.46
10775,CV,40,99.21,512.00,153.60,162.80,421.76,304.57
10883,CV,41,99.96,512.00,161.67,170.67,433.44,352.87
10988,CV,41,100.29,512.00,180.63,189.82,451.80,438.62
11093,CV,42,96.33,512.00,80.59,90.62,343.85,362.27
11197,CV,42,96.92,512.00,111.89,121.30,374.57,462.21
11301,CV,43,97.70,512.00,115.19,124.97,378.50,334.34
11404,CV,43,97.99,512.00,138.81,148.35,406.95,428.48
11506,CV,44,98.68,512.00,142.20,151.73,412.13,323.27
11608,CV,45,99.54,512.00,137.90,147.23,409.11,402.15
11712,CV,45,100.13,512.00,180.68,190.32,441.11,404.70
11818,CV,46,96.38,512.00,80.75,91.12,339.92,405.49
11920,CV,46,96.64,512.00,99.64,110.03,366.86,411.53
12022,CV,47,97.39,512.00,112.90,123.24,372.17,352.70
12125,CV,47,97.73,512.00,128.72,138.82,392.13,516.66
12228,CV,48,98.71,512.00,140.97,150.96,406.53,329.62
12330,CV,48,98.97,512.00,168.39,178.24,438.85,448.09
12434,CV,49,99.75,512.00,191.12,200.89,466.07,404.03
12542,CV,50,96.33,512.00,82.16,91.65,325.28,372.73
12643,CV,50,96.76,512.00,114.03,124.40,382.90,423.25
12745,CV,51,97.67,512.00,117.28,127.16,377.21,422.86
12849,CV,51,97.90,512.00,150.90,161.02,422.81,411.95
12954,CV,52,98.62,512.00,170.82,180.96,441.59,335.06
13055,CV,52,98.88,512.00,184.83,194.80,463.16,491.53
13158,CV,53,99.89,512.00,206.55,216.41,476.57,352.68
13267,CV,53,95.73,512.00,88.60,98.95,349.74,464.83
13372,CV,54,96.51,512.00,106.19,116.45,369.91,295.24
13481,CV,54,99.45,512.00,133.81,143.98,407.12,230.05
13584,CV,55,100.23,512.00,147.81,157.90,424.37,330.87
13688,CV,56,101.34,512.00,151.24,160.69,414.30,336.84
13791,CV,56,101.44,512.00,185.31,194.99,466.23,388.67
13893,CV,57,96.45,512.00,83.51,93.77,339.91,429.39
13996,CV,57,96.67,512.00,116.91,127.42,379.67,387.81
14099,CV,58,97.40,512.00,127.54,138.03,399.42,370.90
14200,CV,58,97.90,512.00,154.92,165.29,427.79,491.22
14305,CV,59,98.65,512.00,172.66,182.93,443.81,316.51
14408,CV,59,98.88,512.00,188.38,198.50,453.61,386.02
14511,CV,60,99.59,512.00,198.96,209.02,469.20,223.61
14616,CV,60,99.83,512.00,210.45,220.17,487.93,306.51
14720,CV,60,95.68,512.00,96.80,107.00,353.82,412.30
14823,CV,61,96.43,512.00,106.36,116.91,372.27,367.34
14927,CV,61,96.79,512.00,125.91,136.38,395.24,443.16
15030,CV,62,97.43,512.00,143.59,154.02,415.23,378.55
15135,CV,62,98.22,512.00,134.41,144.65,406.61,401.53
15239,CV,63,98.60,512.00,173.15,183.37,446.12,413.41
15344,CV,64,99.44,512.00,184.40,194.04,444.06,380.95
15446,CV,64,99.64,512.00,218.08,227.96,484.06,412.48
15548,CV,65,96.35,512.00,98.60,109.13,349.84,398.33
15651,CV,65,96.65,512.00,117.45,127.77,378.70,430.84
15753,CV,66,97.63,512.00,130.24,140.46,396.55,353.21
15854,CV,66,97.88,512.00,162.96,172.62,424.41,423.39
15958,CV,67,98.64,512.00,172.94,183.00,439.87,366.23
16060,CV,67,98.87,512.00,200.58,210.51,471.74,460.34
16162,CV,68,99.62,512.00,206.59,216.43,486.55,421.58
16272,CV,68,96.12,512.00,100.65,111.04,362.26,344.79
16374,CV,69,96.90,512.00,117.95,128.27,385.76,364.19
16476,CV,70,97.77,512.00,117.54,127.24,379.14,380.09
16582,CV,70,98.07,512.00,151.12,161.00,415.99,360.55
16687,CV,71,99.03,512.00,165.54,175.38,435.83,274.74
16789,CV,71,99.28,512.00,184.34,194.02,458.18,482.63
16891,CV,72,100.03,512.00,198.10,207.71,472.15,343.80
16993,CV,72,100.29,512.00,222.02,231.47,492.38,509.59
17095,CV,73,96.54,512.00,105.89,116.28,365.24,313.65
17198,CV,73,97.07,512.00,121.61,131.85,387.45,465.52
17303,CV,74,97.85,512.00,139.17,149.30,410.08,379.36
17406,CV,75,98.66,512.00,147.72,157.66,404.10,380.17
17508,CV,75,98.95,512.00,184.07,193.84,447.36,370.16
17612,CV,76,99.67,512.00,198.53,208.26,460.37,386.60
17714,CV,76,100.23,512.00,217.36,226.89,491.32,500.59
17816,CV,77,96.45,512.00,96.93,107.20,360.96,362.28
17918,CV,77,96.75,512.00,129.52,139.34,397.54,538.11
18020,CV,78,97.56,512.00,139.23,149.32,401.30,265.16
18122,CV,78,97.80,512.00,166.86,176.83,434.52,509.65
18224,CV,79,98.82,512.00,172.49,182.34,442.83,362.62
18327,CV,79,99.64,512.00,163.46,173.13,435.87,428.56
18429,CV,80,99.99,512.00,210.07,219.31,482.17,382.82
18531,CV,81,96.48,512.00,83.86,93.77,331.75,449.95
18633,CV,81,96.74,512.00,117.49,127.54,377.05,361.89
18739,CV,82,97.75,512.00,144.95,154.95,408.00,388.29
18843,CV,82,98.04,512.00,162.89,172.30,433.53,477.75
18945,CV,83,98.75,512.00,172.60,182.35,442.31,333.95
19047,CV,83,98.96,512.00,200.22,209.86,473.97,451.78
19149,CV,84,96.43,512.00,90.39,100.61,353.98,293.47
19252,CV,84,96.96,512.00,117.78,127.89,387.19,427.49
19355,CV,85,97.71,512.00,135.33,145.36,405.80,397.87
19457,CV,86,98.55,512.00,134.83,144.24,394.35,352.62
19559,CV,86,98.81,512.00,168.38,178.00,435.47,440.61
19662,CV,87,99.57,512.00,178.44,188.29,462.36,350.88
19765,CV,87,100.07,512.00,213.80,223.07,479.67,436.80
19868,CV,88,96.48,512.00,98.69,109.16,363.13,329.43
19971,CV,88,96.77,512.00,121.75,132.02,390.69,535.80
20076,CV,89,97.56,512.00,139.35,149.52,410.65,381.85
20178,CV,90,98.44,512.00,150.57,160.13,405.13,408.77
20282,CV,90,98.96,512.00,184.20,193.97,449.18,385.89
20384,CV,91,99.68,512.00,183.78,193.13,455.70,412.61
20486,CV,91,99.97,512.00,217.33,226.88,489.88,402.67
20588,CV,92,96.52,512.00,111.77,122.18,373.02,428.06
20693,CV,92,96.78,512.00,129.74,139.49,394.59,459.73
20797,CV,93,97.83,512.00,139.44,149.59,406.32,325.36
20900,CV,93,98.06,512.00,159.03,169.07,432.25,399.48
21002,CV,94,98.82,512.00,180.45,190.43,455.07,352.99
21105,CV,95,99.67,512.00,183.73,193.11,449.82,387.15
21208,CV,95,99.94,512.00,217.30,226.87,487.54,361.89
21310,CV,96,96.52,512.00,99.29,109.65,361.13,401.78
21413,CV,96,99.49,512.00,130.39,140.28,393.15,388.02
21516,CV,97,100.24,512.00,140.34,150.20,411.33,338.13
21618,CV,97,101.06,512.00,134.97,144.69,412.85,443.34
21720,CV,98,101.35,512.00,185.27,194.82,449.38,421.69
21823,CV,99,96.52,512.00,84.74,94.65,329.73,386.01
21926,CV,99,96.75,512.00,111.23,121.19,380.10,332.45
22033,CV,100,97.51,512.00,118.18,127.90,379.60,344.00
22136,CV,100,97.77,512.00,151.89,161.84,419.09,370.81
22240,CV,101,98.46,512.00,166.71,176.63,428.00,324.54
22342,CV,101,98.85,512.00,185.73,195.59,460.38,284.15
22446,CV,101,99.08,512.00,201.64,211.39,473.14,318.16
22550,CV,102,99.86,512.00,207.47,217.09,473.36,230.50
22656,CV,102,100.05,512.00,227.07,236.57,500.73,360.16
22759,CV,103,96.84,512.00,99.66,109.90,360.86,193.60
22876,CV,103,96.94,512.00,118.61,128.86,384.25,239.58
22978,CV,103,97.14,512.00,134.53,144.67,400.95,263.50
23080,CV,104,97.92,512.00,140.34,150.36,409.80,216.18
23182,CV,104,98.16,512.00,167.96,177.87,438.07,315.30
23284,CV,105,99.15,512.00,173.88,183.68,445.15,225.32
23388,CV,105,99.34,512.00,197.18,206.76,474.67,296.18
23491,CV,106,100.11,512.00,200.08,209.72,477.59,194.00
23595,CV,106,100.37,512.00,231.06,240.15,509.86,404.08
23697,CV,107,96.56,512.00,98.81,109.00,365.05,275.26
23799,CV,107,97.12,512.00,122.78,132.80,390.82,509.36
23903,CV,108,97.87,512.00,140.78,150.70,411.18,366.02
24005,CV,109,98.75,512.00,149.95,159.64,402.65,383.37
24106,CV,109,98.94,512.00,185.89,195.47,451.72,424.03
24208,CV,110,99.71,512.00,196.24,205.79,470.69,353.40
24311,CV,110,95.86,512.00,164.94,173.92,412.80,465.41
24413,CV,111,96.64,512.00,100.18,110.49,357.46,284.09
24518,CV,111,96.94,512.00,118.91,129.02,381.02,438.53
24623,CV,112,97.66,512.00,133.68,143.76,400.25,351.47
24727,CV,112,97.95,512.00,152.88,162.80,417.45,480.88
24829,CV,113,98.93,512.00,174.70,184.54,438.48,275.03
24931,CV,113,99.16,512.00,202.34,212.05,470.08,482.66
25032,CV,114,99.87,512.00,208.36,217.99,479.73,295.16
25139,CV,114,96.51,512.00,81.02,90.43,340.18,327.11
25241,CV,115,96.75,512.00,119.07,129.41,383.63,393.53
25344,CV,116,97.87,512.00,116.64,126.68,366.87,351.25
25447,CV,116,98.20,512.00,152.58,162.50,414.23,415.78
25549,CV,117,98.91,512.00,152.36,161.80,412.96,322.61
25651,CV,117,99.18,512.00,186.12,195.81,450.51,344.57
25753,CV,118,99.93,512.00,186.04,195.28,447.13,402.96
25858,CV,118,100.40,512.00,219.81,229.54,486.60,419.16
25962,CV,119,96.63,512.00,85.12,95.26,330.44,354.68
26065,CV,119,96.86,512.00,118.86,129.22,380.52,417.13
26168,CV,120,97.61,512.00,131.87,142.14,399.32,379.81
26270,CV,120,97.91,512.00,164.58,174.32,432.53,518.62
26372,CV,121,98.89,512.00,174.47,184.54,440.45,332.19
26476,CV,121,99.12,512.00,198.04,207.92,470.12,454.16
26578,CV,122,99.90,512.00,208.15,218.03,477.22,303.92
26680,CV,122,96.06,512.00,93.68,104.05,351.92,478.94
26782,CV,123,96.84,512.00,107.83,118.11,370.21,312.84
26884,CV,123,97.65,512.00,127.46,137.59,393.94,393.20
26986,CV,124,98.11,512.00,141.38,151.43,412.12,344.04
27089,CV,124,98.31,512.00,169.01,178.95,440.50,406.93
27193,CV,125,99.06,512.00,174.97,184.82,448.56,385.78
27297,CV,125,99.39,512.00,202.63,212.33,475.11,365.46
27400,CV,126,100.32,512.00,208.57,218.17,484.33,376.14
27508,CV,126,96.59,512.00,214.85,224.30,493.52,372.85
27612,CV,127,96.84,512.00,111.32,121.75,377.48,372.40
27716,CV,128,97.75,512.00,118.74,128.53,367.83,358.22
27817,CV,128,98.22,512.00,149.15,159.02,412.32,335.53
27918,CV,129,98.98,512.00,167.41,177.43,433.59,404.74
28021,CV,129,99.23,512.00,186.14,195.97,451.61,397.29
28125,CV,130,99.98,512.00,201.00,210.79,470.45,337.94
28231,CV,130,100.21,512.00,219.70,229.34,489.94,480.78
28334,CV,131,96.92,512.00,102.21,112.83,352.99,339.18
28436,CV,131,99.54,512.00,115.65,126.41,377.46,353.96
28540,CV,132,100.28,512.00,150.77,161.49,418.80,307.49
28642,CV,132,102.90,512.00,150.15,160.71,423.35,391.36
28745,CV,133,103.62,512.00,171.22,181.75,433.19,302.36
28850,CV,133,105.51,512.00,182.20,192.65,459.31,370.44
28954,CV,134,96.50,512.00,87.11,97.64,326.66,346.78
29058,CV,134,96.60,512.00,121.91,132.73,383.48,433.67
29162,CV,135,99.81,512.00,100.19,110.84,369.73,315.60
29266,CV,135,99.98,512.00,144.73,155.36,415.94,356.39
29371,CV,136,103.49,512.00,153.95,164.41,409.38,303.57
29476,CV,136,103.59,512.00,179.25,189.70,446.40,229.03
29583,CV,136,106.21,512.00,202.80,213.07,477.55,382.85
29685,CV,137,96.52,512.00,101.20,111.79,358.86,215.18
29791,CV,137,99.17,512.00,116.70,127.32,383.00,323.10
29895,CV,138,100.19,512.00,136.33,146.95,404.06,306.17
30000,CV,138,102.84,512.00,156.55,167.04,425.19,342.63
30105,CV,139,103.49,512.00,170.18,180.46,441.79,239.61
30207,CV,139,106.15,512.00,197.78,207.75,462.34,341.54
30312,CV,140,96.54,512.00,86.98,97.64,343.34,334.64
30417,CV,140,99.45,512.00,116.76,127.30,380.54,314.20
30524,CV,141,100.20,512.00,151.92,162.44,416.90,298.38
30627,CV,141,102.85,512.00,151.32,161.71,422.36,368.26
30731,CV,142,103.53,512.00,172.35,182.70,441.86,289.30
30839,CV,142,106.22,512.00,185.96,196.14,459.36,426.09
30944,CV,143,96.61,512.00,87.22,97.64,327.21,315.24
31048,CV,143,96.71,512.00,110.41,121.02,368.11,305.93
31159,CV,143,99.34,512.00,126.07,136.60,393.05,359.88
31265,CV,144,100.10,512.00,137.90,148.36,399.03,208.18
31369,CV,144,101.62,512.00,148.90,159.26,418.75,393.01
31473,CV,144,103.27,512.00,164.50,174.84,435.63,270.24
31578,CV,145,103.77,512.00,179.47,189.70,446.28,371.86
31699,CV,145,95.85,512.00,207.02,217.21,469.83,353.57
31806,CV,146,96.66,512.00,101.96,112.62,363.40,289.93
31911,CV,146,99.55,512.00,129.08,139.14,388.20,401.76
32015,CV,147,100.28,512.00,137.28,147.78,403.46,316.23
32118,CV,147,102.92,512.00,163.52,173.43,428.07,407.35
32231,CV,148,103.62,512.00,170.30,180.46,440.83,239.07
32345,CV,148,106.27,512.00,185.77,195.96,457.21,254.09
32461,CV,149,96.57,512.00,85.42,95.63,321.02,251.68
32566,CV,149,96.67,512.00,114.32,124.93,375.90,370.35
32672,CV,150,99.93,512.00,119.53,130.21,368.01,245.96
32776,CV,150,100.04,512.00,148.82,159.51,417.17,374.83
32881,CV,150,102.72,512.00,160.63,171.18,430.76,274.53
32986,CV,151,103.66,512.00,171.85,182.36,441.32,266.48
33090,CV,151,106.30,512.00,197.73,207.95,461.49,336.72
33200,CV,152,96.53,512.00,103.29,113.44,355.73,236.17
33304,CV,152,96.66,512.00,114.36,125.18,375.76,358.08
33408,CV,153,100.17,512.00,121.84,132.21,371.03,316.84
33510,CV,153,100.31,512.00,152.75,163.41,419.96,390.23
33615,CV,154,103.58,512.00,156.36,166.54,404.27,297.65
33720,CV,154,103.68,512.00,183.38,193.85,453.30,427.56
33828,CV,154,106.30,512.00,206.86,217.23,479.71,258.19
33933,CV,155,96.94,512.00,102.95,113.69,358.89,304.47
34039,CV,155,99.59,512.00,128.74,139.35,381.40,349.51
34143,CV,156,100.31,512.00,135.95,146.38,399.30,297.59
